LaunchPoint, start, end, offerlocale, SerialNumber, ProductNumber, ProductName, ASLVersion, TestResult, DesignCapacity, FullChargeCapacity, RemainingCapacity, StorageCapacity, MaxError, CycleCount, Temperature, TerminalVoltage, Current, DesignVoltage, BatteryManufactureName, Status, CellVoltage1, CellVoltage2, CellVoltage3, CellVoltage4, BatteryACPower, BatterySupportedCount, SerialNumber, satId, ManufactureDate, SubTable, InWarranty, CTNumber, TestResult, SubTable, EOD
Battery Check, 08/04/2017 05:40:24 UTC, 08/04/2017 05:40:24 UTC, 0411, 52420, M1S29UC#ACF, HP EliteBook 745 G2, 8.0.0.15, 0, 4450, 4001, 3879, 89, 1, 117, 38, 12821, 0, 11400, 33-24, E0, 0, 4270, 4273, 4276, True, 2, 32809 2015/05/15, 32809, 2015/05/15, 0, True, 6DJGD11BB8R3HC, 60, 1, EOD
LaunchPoint, start, end, offerlocale, SerialNumber, ProductNumber, ProductName, ASLVersion, TestResult, DesignCapacity, FullChargeCapacity, RemainingCapacity, StorageCapacity, MaxError, CycleCount, Temperature, TerminalVoltage, Current, DesignVoltage, BatteryManufactureName, Status, CellVoltage1, CellVoltage2, CellVoltage3, CellVoltage4, BatteryACPower, BatterySupportedCount, SerialNumber, satId, ManufactureDate, SubTable, InWarranty, CTNumber, TestResult, SubTable, EOD
Battery Check, 08/04/2017 05:40:24 UTC, 08/04/2017 05:40:24 UTC, 0411, 52420, M1S29UC#ACF, HP EliteBook 745 G2, 8.0.0.15, 0, 4450, 4001, 3879, 89, 1, 117, 38, 12821, 0, 11400, 33-24, E0, 0, 4270, 4273, 4276, True, 2, 32809 2015/05/15, 32809, 2015/05/15, 0, True, 6DJGD11BB8R3HC, 60, 1, EOD
